,Country Name,Country Code,mean
94973,Afghanistan,AFG,4.69999994834264
98638,Albania,ALB,14.462500055631004
102303,Algeria,DZA,19.33333333333334
113298,Angola,AGO,6.2875000039736415
120628,Argentina,ARG,11.5125000278155
124293,Armenia,ARM,17.595833301544186
131623,Australia,AUS,6.7874999443689985
135288,Austria,AUT,4.754166702429453
138953,Azerbaijan,AZE,6.420833289623264
142618,"Bahamas, The",BHS,11.137500107288366
146283,Bahrain,BHR,1.3374999860922483
149948,Bangladesh,BGD,3.8041666646798453
153613,Barbados,BRB,12.962500115235644
157278,Belarus,BLR,0.6500000009934107
160943,Belgium,BEL,7.945833345254262
164608,Belize,BLZ,10.870833406845728
168273,Benin,BEN,0.9833333368102717
175603,Bhutan,BTN,2.6833333075046535
179268,Bolivia,BOL,4.333333373069762
182933,Bosnia and Herzegovina,BIH,23.550000111262005
186598,Botswana,BWA,18.52916657924652
190263,Brazil,BRA,10.908333261807755
197593,Brunei Darussalam,BRN,5.458333293596905
201258,Bulgaria,BGR,13.299999992052717
204923,Burkina Faso,BFA,2.91666664679845
208588,Burundi,BDI,1.6250000298023248
212253,Cabo Verde,CPV,11.008333365122452
215918,Cambodia,KHM,0.9458333309739825
219583,Cameroon,CMR,5.258333345254264
223248,Canada,CAN,8.095833361148836
230578,Central African Republic,CAF,6.14999987681707
234243,Chad,TCD,5.741666615009309
237908,Channel Islands,CHI,7.216666638851166
241573,Chile,CHL,7.166666706403096
245238,China,CHN,4.408333351214726
248903,Colombia,COL,12.183333317438757
252568,Comoros,COM,20.1833332379659
256233,"Congo, Dem. Rep.",COD,3.6499999960263594
259898,"Congo, Rep.",COG,12.354166746139532
263563,Costa Rica,CRI,6.399999976158142
267228,Cote d'Ivoire,CIV,9.174999952316286
270893,Croatia,HRV,12.429166555404656
274558,Cuba,CUB,3.9166666865348803
281888,Cyprus,CYP,6.545833349227906
285553,Czech Republic,CZE,6.075000027815499
289218,Denmark,DNK,6.158333351214725
292883,Djibouti,DJI,6.270833333333333
300213,Dominican Republic,DOM,13.604166626930239
303878,Ecuador,ECU,7.8291666011015595
307543,"Egypt, Arab Rep.",EGY,10.145833293596903
311208,El Salvador,SLV,7.066666662693024
314873,Equatorial Guinea,GNQ,6.525000015894572
318538,Eritrea,ERI,6.6875
322203,Estonia,EST,9.204166700442636
325868,Ethiopia,ETH,5.6875
333198,Fiji,FJI,7.345833261807759
336863,Finland,FIN,10.59583330154419
340528,France,FRA,10.204166730244953
344193,French Polynesia,PYF,13.762499928474421
347858,Gabon,GAB,18.283333460489917
351523,"Gambia, The",GMB,29.633333206176747
355188,Georgia,GEO,13.36666671435038
358853,Germany,DEU,7.9999999602635645
362518,Ghana,GHA,6.583333233992259
369848,Greece,GRC,12.054166634877527
380843,Guam,GUM,9.145833353201551
384508,Guatemala,GTM,2.7708333233992257
388173,Guinea,GIN,6.262500027815501
391838,Guinea-Bissau,GNB,6.179166555404664
395503,Guyana,GUY,11.241666595141096
399168,Haiti,HTI,12.916666666666671
402833,Honduras,HND,3.966666678587597
406498,"Hong Kong SAR, China",HKG,4.150000010927518
410163,Hungary,HUN,8.683333317438757
413828,Iceland,ISL,4.1083333392937975
417493,India,IND,3.9791666964689885
421158,Indonesia,IDN,6.854166656732559
424823,"Iran, Islamic Rep.",IRN,11.720833420753479
428488,Iraq,IRQ,17.64999997615814
432153,Ireland,IRL,9.537500033775961
439483,Israel,ISR,10.19166662295659
443148,Italy,ITA,9.741666634877514
446813,Jamaica,JAM,13.754166563351939
450478,Japan,JPN,4.024999996026358
454143,Jordan,JOR,14.200000007947283
457808,Kazakhstan,KAZ,8.333333378036821
461473,Kenya,KEN,10.59583330154419
468803,"Korea, Dem. People’s Rep.",PRK,4.666666746139526
472468,"Korea, Rep.",KOR,3.4750000139077506
479798,Kuwait,KWT,1.5749999880790702
483463,Kyrgyz Republic,KGZ,8.80416663487752
487128,Lao PDR,LAO,1.8083333124717056
490793,Latvia,LVA,13.400000035762792
494458,Lebanon,LBN,7.637500007947286
498123,Lesotho,LSO,29.074999809265126
501788,Liberia,LBR,4.354166646798452
505453,Libya,LBY,17.81666648387908
512783,Lithuania,LTU,12.762499849001559
516448,Luxembourg,LUX,3.679166654745737
520113,"Macao SAR, China",MAC,3.733333319425583
523778,"Macedonia, FYR",MKD,32.775000015894584
527443,Madagascar,MDG,3.429166659712791
531108,Malawi,MWI,6.916666686534882
534773,Malaysia,MYS,3.29583332935969
538438,Maldives,MDV,2.19583331545194
542103,Mali,MLI,8.31249999006589
545768,Malta,MLT,6.675000091393787
553098,Mauritania,MRT,10.15416677792866
556763,Mauritius,MUS,7.441666692495346
560428,Mexico,MEX,3.987499992052714
567758,Moldova,MDA,6.691666702429451
575088,Mongolia,MNG,6.324999968210857
578753,Montenegro,MNE,19.179166555404663
582418,Morocco,MAR,13.141666650772095
586083,Mozambique,MOZ,23.75416660308837
589748,Myanmar,MMR,0.8166666726271306
593413,Namibia,NAM,20.06249992052714
600743,Nepal,NPL,2.945833340287209
604408,Netherlands,NLD,4.8708333273728694
608073,New Caledonia,NCL,15.666666706403094
611738,New Zealand,NZL,6.25416670242945
615403,Nicaragua,NIC,9.608333230018621
619068,Niger,NER,2.8500000139077497
622733,Nigeria,NGA,6.5541666348775225
630063,Norway,NOR,4.079166690508525
633728,Oman,OMN,18.44999988873799
637393,Pakistan,PAK,6.029166678587596
644723,Panama,PAN,10.520833333333334
648388,Papua New Guinea,PNG,2.624999970197679
652053,Paraguay,PRY,6.2791666587193795
655718,Peru,PER,6.824999968210856
659383,Philippines,PHL,8.633333265781403
663048,Poland,POL,12.941666662693038
